f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
M,L,M,B,I,M,F,I,M,L,C,F,C,F,I,M
B,H,C,B,I,L,M,K,C,P,I,C,K,M,I,P
C,L,H,O,H,H,N,I,I,O,F,C,I,F,N,C
B,P,C,L,C,F,M,F,H,C,B,F,I,F,B,M
D,E,K,D,E,F,L,I,K,C,O,F,K,P,E,F
I,P,H,M,K,M,M,E,L,J,C,F,E,F,D,F
D,K,K,I,K,F,M,C,K,H,C,P,K,L,B,L
M,O,M,M,B,M,F,B,B,M,M,C,C,O,K,L
I,L,B,C,D,M,M,B,B,M,C,F,I,F,B,F
D,E,D,E,E,I,N,B,I,N,L,M,E,F,K,F
C,N,C,F,H,F,C,F,H,P,H,F,I,F,I,M
F,P,F,F,B,C,A,H,C,O,F,K,K,O,K,B
H,C,F,H,F,L,F,H,B,M,C,M,N,L,M,H
I,H,H,B,I,H,M,B,F,M,C,N,I,F,H,L
K,B,I,K,D,F,K,K,K,F,K,F,K,C,K,M
H,H,C,B,I,H,F,H,F,P,F,L,I,L,I,H
B,P,C,M,C,C,M,I,M,C,H,F,I,F,H,L
I,L,B,M,K,F,M,C,L,B,C,M,E,F,L,F
H,L,H,M,H,M,M,M,B,L,M,F,I,F,I,F
F,F,M,O,H,C,H,C,H,C,N,M,H,P,B,M
C,N,C,F,M,H,P,F,I,M,B,F,K,M,H,N
I,I,B,B,K,M,F,B,D,M,F,F,F,P,E,F
B,L,H,M,I,H,F,C,F,O,L,A,K,P,I,M
L,G,F,F,B,H,P,B,B,L,L,C,B,N,K,F
K,M,I,H,K,C,M,H,F,C,M,N,E,L,F,M
I,B,B,M,D,E,D,C,C,E,E,C,E,F,E,F
K,B,I,I,D,M,L,I,B,O,H,I,D,P,K,F
B,N,C,F,H,L,M,H,M,P,H,H,I,F,I,F
D,D,K,D,E,M,M,B,B,M,C,F,K,F,B,M
I,M,B,H,K,M,N,I,M,P,L,B,K,N,I,H
B,C,H,B,I,M,M,I,M,P,H,M,K,F,H,F
D,E,K,D,E,M,M,N,E,H,C,F,B,F,E,F
P,P,P,H,B,F,P,B,K,H,P,M,P,O,K,C
D,E,D,D,D,M,M,P,E,C,C,F,B,F,E,F
I,M,I,H,I,I,C,H,L,M,M,A,E,F,M,L
H,O,H,C,I,M,L,K,C,N,C,C,K,L,H,H
K,B,B,I,K,M,M,K,L,N,C,L,D,L,C,M
K,D,I,K,K,C,F,H,B,F,M,M,H,L,D,C
I,H,B,C,B,L,F,M,K,B,M,N,I,L,C,P
B,F,C,C,I,H,N,I,B,F,O,L,K,P,D,F
K,B,B,I,D,M,N,D,M,M,N,F,D,N,K,F
I,B,H,M,D,F,F,B,I,C,J,F,I,L,E,F
I,C,B,B,K,C,N,K,C,J,C,B,D,P,K,F
H,O,H,C,B,P,H,B,C,N,B,F,I,F,F,N
H,N,F,F,O,L,H,K,D,F,B,F,N,M,I,C
B,L,H,M,H,F,M,C,C,M,C,C,C,F,I,C
K,C,I,B,I,C,M,M,H,M,C,M,K,F,C,L
I,B,H,C,H,F,N,B,K,F,M,C,B,N,F,B
I,H,B,C,B,F,L,B,K,H,F,N,K,P,H,F
I,B,C,I,I,M,C,I,B,L,F,L,M,H,K,L
H,F,H,C,I,B,F,H,M,N,P,A,D,L,I,F
D,E,D,E,E,M,M,C,B,M,C,F,K,F,I,F
B,L,C,M,B,H,N,B,C,N,P,H,K,P,I,H
H,N,M,F,H,M,M,K,L,N,C,L,I,F,H,F
K,D,K,K,D,F,M,M,H,M,C,F,K,F,I,F
B,M,C,H,M,F,F,B,B,C,F,F,F,L,H,M
I,L,B,C,K,H,F,E,F,J,M,F,E,F,D,M
K,D,I,K,K,H,M,B,M,M,C,N,I,F,B,P
F,J,F,F,C,P,M,H,H,N,D,C,M,B,H,M
O,J,L,F,H,L,M,C,H,P,K,F,M,H,C,P
B,M,B,H,K,M,C,C,L,C,M,N,E,L,L,F
K,I,B,K,D,N,K,I,D,L,K,L,D,C,K,F
C,F,L,C,H,P,M,B,C,N,K,C,B,L,B,P
K,D,K,K,D,M,F,C,B,M,C,M,B,F,D,M
I,F,B,C,B,F,M,M,H,M,M,L,K,L,F,F
C,N,C,F,I,I,P,I,C,O,O,M,D,N,K,C
D,E,D,D,E,K,D,H,H,E,K,H,E,F,E,F
C,N,F,F,H,C,N,I,K,M,N,F,B,P,H,L
D,K,K,I,D,P,C,K,C,O,B,F,D,C,D,M
